int(self),DRONE_MODE,TARGET_MODE,nb_drones_init,nb_target_init,no_of_target,minor_cell_side,major_cell_side,droneBatteryCapacity,rescue_sensitivity,cur_energy_consumed,cur_avg_target_hit_time
243,Firefly Algorithm,Static,1,6,0,2,2,3000,0.5,0.20366666666667066,27.5
244,Firefly Algorithm,Dnyamic,1,6,0,2,2,3000,0.5,0.10500000000000176,17.5
245,Firefly Algorithm,Sourced,1,6,0,2,2,3000,0.5,0.16000000000000303,22.666666666666668
246,Firefly Algorithm,Static,1,11,0,2,2,3000,0.5,0.20166666666667066,14.636363636363637
247,Firefly Algorithm,Dnyamic,1,11,0,2,2,3000,0.5,0.24500000000000433,20.818181818181817
248,Firefly Algorithm,Sourced,1,11,0,2,2,3000,0.5,0.11233333333333517,10.454545454545455
249,Firefly Algorithm,Static,1,16,0,2,2,3000,0.5,0.17200000000000326,9.125
250,Firefly Algorithm,Dnyamic,1,16,0,2,2,3000,0.5,0.13466666666666893,8.25
251,Firefly Algorithm,Sourced,1,16,0,2,2,3000,0.5,0.16766666666666974,9.375
252,Firefly Algorithm,Static,1,21,0,2,2,3000,0.5,0.19533333333333713,7.619047619047619
253,Firefly Algorithm,Dnyamic,1,21,0,2,2,3000,0.5,0.1823333333333368,7.380952380952381
254,Firefly Algorithm,Sourced,1,21,0,2,2,3000,0.5,0.13966666666666905,6.428571428571429
255,Firefly Algorithm,Static,1,26,0,2,2,3000,0.5,0.22400000000000442,6.923076923076923
256,Firefly Algorithm,Dnyamic,1,26,0,2,2,3000,0.5,0.4603333333333419,15.576923076923077
257,Firefly Algorithm,Sourced,1,26,0,2,2,3000,0.5,0.13133333333333574,4.5
258,Firefly Algorithm,Static,1,31,0,2,2,3000,0.5,0.2593333333333385,6.580645161290323
259,Firefly Algorithm,Dnyamic,1,31,0,2,2,3000,0.5,0.17566666666666997,4.870967741935484
260,Firefly Algorithm,Sourced,1,31,0,2,2,3000,0.5,0.27133333333333876,6.903225806451613
261,Firefly Algorithm,Static,1,36,0,2,2,3000,0.5,0.1890000000000036,4.416666666666667
262,Firefly Algorithm,Dnyamic,1,36,0,2,2,3000,0.5,0.5586666666666759,12.88888888888889
263,Firefly Algorithm,Sourced,1,36,0,2,2,3000,0.5,0.24800000000000466,5.944444444444445
264,Firefly Algorithm,Static,1,41,0,2,2,3000,0.5,0.1836666666666702,3.731707317073171
265,Firefly Algorithm,Dnyamic,1,41,0,2,2,3000,0.5,0.16733333333333644,3.6097560975609757
266,Firefly Algorithm,Sourced,1,41,0,2,2,3000,0.5,0.31100000000000594,6.439024390243903
267,Firefly Algorithm,Static,1,46,0,2,2,3000,0.5,0.2613333333333385,4.521739130434782
268,Firefly Algorithm,Dnyamic,1,46,0,2,2,3000,0.5,0.25166666666667137,4.760869565217392
269,Firefly Algorithm,Sourced,1,46,0,2,2,3000,0.5,0.2313333333333376,4.434782608695652
270,Firefly Algorithm,Static,1,1,0,2,2,3000,1.0,0.1463333333333361,125.0
